LUMINOSIDADE %;TEMP AR Celsius;GASES %;UMIDADE %;LATITUDE;LONGITUDE;TEMP AGUA Celsius;OXI AGUA mg/L;SOM
97.85;34.79;25.02;48.00;-12.9111604;-38.4931564;37.19;3.21;767
98.24;34.83;18.67;48.00;-12.9111194;-38.4931945;37.38;3.24;836
98.24;35.15;16.52;48.00;-12.9111194;-38.4931869;37.71;3.21;787
98.24;35.37;15.25;48.00;-12.9111194;-38.4931869;37.99;3.22;851
98.34;35.47;13.59;48.00;-12.9111194;-38.4931869;38.21;3.21;811
98.34;35.65;12.81;47.00;-12.9111194;-38.4931869;38.45;3.25;796
98.24;35.68;12.22;46.00;-12.9111194;-38.4931869;38.66;3.24;817
98.34;35.73;11.93;45.00;-12.9111194;-38.4931869;38.88;3.23;819
98.34;35.84;11.34;43.00;-12.9111194;-38.4931869;39.09;3.21;832
98.04;35.93;11.24;42.00;-12.9111194;-38.4931869;39.24;3.25;822
98.44;36.15;10.95;42.00;-12.9111194;-38.4931869;39.37;3.25;812
98.44;36.34;10.85;41.00;-12.9111194;-38.4931869;39.40;3.84;822
98.44;36.70;10.56;41.00;-12.9111194;-38.4931869;39.63;3.26;791
98.44;36.86;10.46;41.00;-12.9111194;-38.4931869;39.91;3.27;815
98.44;37.36;10.17;40.00;-12.9111194;-38.4931869;39.81;3.27;802
98.44;37.46;10.17;39.00;-12.9111194;-38.4931869;40.16;3.28;820
98.44;37.75;9.97;39.00;-12.9111194;-38.4931869;40.08;3.29;736
98.14;37.51;9.97;38.00;-12.9111194;-38.4931869;40.38;3.28;816
98.34;37.68;9.87;38.00;-12.9111194;-38.4931869;40.42;3.31;813
98.44;37.90;9.78;38.00;-12.9111194;-38.4931869;40.67;3.31;809
98.34;37.46;9.48;37.00;-12.9111194;-38.4931869;40.80;3.32;818
98.34;37.25;9.58;37.00;-12.9111194;-38.4931869;40.70;3.29;755
98.04;37.04;9.78;37.00;-12.9111194;-38.4931869;40.80;3.31;784
98.34;37.31;9.78;37.00;-12.9111194;-38.4931869;40.94;3.32;813
98.24;37.26;9.58;37.00;-12.9111194;-38.4931869;40.89;3.33;811
98.04;36.75;9.38;37.00;-12.9111194;-38.4931869;40.60;3.31;820
98.34;37.17;9.38;38.00;-12.9111194;-38.4931869;40.67;3.30;797
98.34;36.56;9.09;38.00;-12.9111194;-38.4931869;40.37;3.31;797
98.34;36.09;9.09;37.00;-12.9111194;-38.4931869;40.38;3.31;776
98.44;36.56;8.99;37.00;-12.9111194;-38.4931869;40.26;3.29;785
